CommitId,RefactoringType,OriginalFile,EvolvedFile,OldCodeElement, newCodeElement
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public getAction() : String","public getAction() : String"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public setAction(action String) : void","public setAction(action String) : void"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public toString() : String","public toString() : String"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public hashCode() : int","public hashCode() : int"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public equals(obj Object) : boolean","public equals(obj Object) : boolean"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_ATTRIBUTE,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"private age : int","protected age : int"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,CHANGE_ATTRIBUTE_ACCESS_MODIFIER,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"private age : int","protected age : int"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_ATTRIBUTE,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"private name : int","protected name : int"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,CHANGE_ATTRIBUTE_ACCESS_MODIFIER,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"private name : int","protected name : int"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_ATTRIBUTE,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"private spead : int","protected spead : int"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,CHANGE_ATTRIBUTE_ACCESS_MODIFIER,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"private spead : int","protected spead : int"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_ATTRIBUTE,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"private action : String","protected action : String"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,CHANGE_ATTRIBUTE_ACCESS_MODIFIER,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"private action : String","protected action : String"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,EXTRACT_SUPERCLASS,src/org/reptile/Turtle.java,src/org/reptile/Turtle.java,"org.reptile.Turtle","org.reptile.Turtle"
3f3552830d3e464f96f99bd55641a7c7b16bdd11,PUSH_DOWN_OPERATION,src/org/felines/Feline.java,src/org/felines/Tiger.java,"public getSpeed() : int","public getSpeed() : int"
3f3552830d3e464f96f99bd55641a7c7b16bdd11,PUSH_DOWN_OPERATION,src/org/felines/Feline.java,src/org/felines/Tiger.java,"public setSpeed(speed int) : void","public setSpeed(speed int) : void"
3f3552830d3e464f96f99bd55641a7c7b16bdd11,PUSH_DOWN_ATTRIBUTE,src/org/felines/Feline.java,src/org/felines/Tiger.java,"private speed : int","private speed : int"
f35b2c8eb8c320f173237e44d04eefb4634649a2,EXTRACT_OPERATION,src/org/felines/Cat.java,src/org/felines/Cat.java,"public sleep() : void","private sleepNight() : void"
f35b2c8eb8c320f173237e44d04eefb4634649a2,EXTRACT_OPERATION,src/org/felines/Cat.java,src/org/felines/Cat.java,"N/A","N/A"
f35b2c8eb8c320f173237e44d04eefb4634649a2,EXTRACT_OPERATION,src/org/felines/Cat.java,src/org/felines/Cat.java,"N/A","N/A"
f35b2c8eb8c320f173237e44d04eefb4634649a2,EXTRACT_OPERATION,src/org/felines/Cat.java,src/org/felines/Cat.java,"N/A","N/A"
f35b2c8eb8c320f173237e44d04eefb4634649a2,EXTRACT_OPERATION,src/org/felines/Cat.java,src/org/felines/Cat.java,"N/A","N/A"
f35b2c8eb8c320f173237e44d04eefb4634649a2,EXTRACT_OPERATION,src/org/felines/Cat.java,src/org/felines/Cat.java,"N/A","N/A"
c0a051fdeb02fd4374ebe625d6af9e3125a2b9af,PULL_UP_ATTRIBUTE,src/org/felines/Tiger.java,src/org/felines/Feline.java,"private speed : int","private speed : int"
92b201345f730110445d83f4fefe8ae88bc4872b,PULL_UP_OPERATION,src/org/felines/Tiger.java,src/org/felines/Feline.java,"public getAge() : int","public getAge() : int"
92b201345f730110445d83f4fefe8ae88bc4872b,PULL_UP_OPERATION,src/org/felines/Tiger.java,src/org/felines/Feline.java,"public setAge(age int) : void","public setAge(age int) : void"
92b201345f730110445d83f4fefe8ae88bc4872b,PULL_UP_OPERATION,src/org/felines/Tiger.java,src/org/felines/Feline.java,"public getName() : int","public getName() : int"
92b201345f730110445d83f4fefe8ae88bc4872b,PULL_UP_OPERATION,src/org/felines/Tiger.java,src/org/felines/Feline.java,"public setName(name int) : void","public setName(name int) : void"
92b201345f730110445d83f4fefe8ae88bc4872b,PULL_UP_ATTRIBUTE,src/org/felines/Tiger.java,src/org/felines/Feline.java,"private age : int","private age : int"
92b201345f730110445d83f4fefe8ae88bc4872b,PULL_UP_ATTRIBUTE,src/org/felines/Tiger.java,src/org/felines/Feline.java,"private name : int","private name : int"
9a9878aeb62a6bb6ff2bed6c03dd1dd7ed1f202b,PULL_UP_OPERATION,src/org/felines/Cat.java,src/org/felines/Feline.java,"public meow() : void","public meow() : void"
0c5c24356f3179ee320c3318f91278520caafb3a,MOVE_CLASS,src/org/felines/Feline.java,src/org/birds/Feline.java,"org.felines.Feline","org.birds.Feline"
